Packet number,Error code,Error message
29095,6,Bluetooth transmit buffer overrun.
29204,6,Bluetooth transmit buffer overrun.
29313,6,Bluetooth transmit buffer overrun.
29422,6,Bluetooth transmit buffer overrun.
29531,6,Bluetooth transmit buffer overrun.
29640,6,Bluetooth transmit buffer overrun.
29749,6,Bluetooth transmit buffer overrun.
29858,6,Bluetooth transmit buffer overrun.
29967,6,Bluetooth transmit buffer overrun.
30076,6,Bluetooth transmit buffer overrun.
30185,6,Bluetooth transmit buffer overrun.
30294,6,Bluetooth transmit buffer overrun.
30403,6,Bluetooth transmit buffer overrun.
30512,6,Bluetooth transmit buffer overrun.
30621,6,Bluetooth transmit buffer overrun.
30730,6,Bluetooth transmit buffer overrun.
30839,6,Bluetooth transmit buffer overrun.
30948,6,Bluetooth transmit buffer overrun.
31057,6,Bluetooth transmit buffer overrun.
31166,6,Bluetooth transmit buffer overrun.
31275,6,Bluetooth transmit buffer overrun.
31384,6,Bluetooth transmit buffer overrun.
31493,6,Bluetooth transmit buffer overrun.
31602,6,Bluetooth transmit buffer overrun.
31711,6,Bluetooth transmit buffer overrun.
31820,6,Bluetooth transmit buffer overrun.
31929,6,Bluetooth transmit buffer overrun.
32038,6,Bluetooth transmit buffer overrun.
32147,6,Bluetooth transmit buffer overrun.
32256,6,Bluetooth transmit buffer overrun.
32365,6,Bluetooth transmit buffer overrun.
32474,6,Bluetooth transmit buffer overrun.
32583,6,Bluetooth transmit buffer overrun.
32692,6,Bluetooth transmit buffer overrun.
32801,6,Bluetooth transmit buffer overrun.
32910,6,Bluetooth transmit buffer overrun.
33019,6,Bluetooth transmit buffer overrun.
33128,6,Bluetooth transmit buffer overrun.
33237,6,Bluetooth transmit buffer overrun.
33346,6,Bluetooth transmit buffer overrun.
33455,6,Bluetooth transmit buffer overrun.
33564,6,Bluetooth transmit buffer overrun.
33662,6,Bluetooth transmit buffer overrun.
33739,6,Bluetooth transmit buffer overrun.
33848,6,Bluetooth transmit buffer overrun.
33957,6,Bluetooth transmit buffer overrun.
34066,6,Bluetooth transmit buffer overrun.
34175,6,Bluetooth transmit buffer overrun.
34284,6,Bluetooth transmit buffer overrun.
34393,6,Bluetooth transmit buffer overrun.
34502,6,Bluetooth transmit buffer overrun.
34611,6,Bluetooth transmit buffer overrun.
34720,6,Bluetooth transmit buffer overrun.
34829,6,Bluetooth transmit buffer overrun.
34938,6,Bluetooth transmit buffer overrun.
35047,6,Bluetooth transmit buffer overrun.
35156,6,Bluetooth transmit buffer overrun.
35265,6,Bluetooth transmit buffer overrun.
35374,6,Bluetooth transmit buffer overrun.
35483,6,Bluetooth transmit buffer overrun.
35592,6,Bluetooth transmit buffer overrun.
35701,6,Bluetooth transmit buffer overrun.
35810,6,Bluetooth transmit buffer overrun.
35919,6,Bluetooth transmit buffer overrun.
36028,6,Bluetooth transmit buffer overrun.
36137,6,Bluetooth transmit buffer overrun.
36246,6,Bluetooth transmit buffer overrun.
36355,6,Bluetooth transmit buffer overrun.
36464,6,Bluetooth transmit buffer overrun.
36573,6,Bluetooth transmit buffer overrun.
36682,6,Bluetooth transmit buffer overrun.
36791,6,Bluetooth transmit buffer overrun.
36900,6,Bluetooth transmit buffer overrun.
37009,6,Bluetooth transmit buffer overrun.
37118,6,Bluetooth transmit buffer overrun.
37227,6,Bluetooth transmit buffer overrun.
37336,6,Bluetooth transmit buffer overrun.
37445,6,Bluetooth transmit buffer overrun.
37554,6,Bluetooth transmit buffer overrun.
37663,6,Bluetooth transmit buffer overrun.
37772,6,Bluetooth transmit buffer overrun.
37881,6,Bluetooth transmit buffer overrun.
37990,6,Bluetooth transmit buffer overrun.
38099,6,Bluetooth transmit buffer overrun.
38208,6,Bluetooth transmit buffer overrun.
38317,6,Bluetooth transmit buffer overrun.
38426,6,Bluetooth transmit buffer overrun.
38535,6,Bluetooth transmit buffer overrun.
38644,6,Bluetooth transmit buffer overrun.
38753,6,Bluetooth transmit buffer overrun.
38862,6,Bluetooth transmit buffer overrun.
38971,6,Bluetooth transmit buffer overrun.
39080,6,Bluetooth transmit buffer overrun.
39189,6,Bluetooth transmit buffer overrun.
39298,6,Bluetooth transmit buffer overrun.
39407,6,Bluetooth transmit buffer overrun.
