Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
391,0,-0.125,0.125,0.01953125,0.005859375,-1.030273,0.1557617,-0.8183594,0.05322266
395,-0.25,-0.125,0.0625,0.01953125,-0.001464844,-1.038086,0.1547852,-0.8198242,0.05419922
399,0,0.125,0,0.01953125,0.001953125,-1.041992,0.1547852,-0.8198242,0.05419922
403,0.0625,-0.125,0.125,0.01953125,0.009765625,-1.041992,0.1572266,-0.8183594,0.05322266
407,0.1875,0,0,0.015625,0.005859375,-1.038086,0.1547852,-0.8212891,0.05566406
411,0,0.0625,0.0625,0.015625,-0.001464844,-1.03418,0.1547852,-0.8212891,0.05566406
415,-0.1875,0.125,0,0.01953125,0.001953125,-1.041992,0.1557617,-0.8183594,0.05322266
419,0,-0.0625,0,0.01953125,0.005859375,-1.038086,0.1547852,-0.8198242,0.05566406
423,-0.0625,0,-0.0625,0.01171875,-0.005371094,-1.045898,0.1547852,-0.8198242,0.05566406
427,0.125,0,0,0.015625,0.005859375,-1.045898,0.1547852,-0.8198242,0.05175781
431,0,0,0,0.015625,0.005859375,-1.041992,0.1533203,-0.8198242,0.05419922
435,0,0.25,0.0625,0.015625,0.001953125,-1.041992,0.1533203,-0.8198242,0.05419922
439,0.0625,0.0625,0,0.0234375,0.001953125,-1.030273,0.1547852,-0.8198242,0.05029297
443,0,-0.0625,-0.0625,0.03125,0.001953125,-1.030273,0.1572266,-0.8212891,0.05322266
447,0,-0.0625,0,0.01953125,0.001953125,-1.045898,0.1572266,-0.8212891,0.05322266
451,0,-0.125,0,0.01953125,0.001953125,-1.03418,0.1572266,-0.8212891,0.05029297
456,0,-0.0625,0.1875,0.015625,-0.005371094,-1.041992,0.1572266,-0.8198242,0.05175781
460,0,0,0.0625,0.01953125,-0.001464844,-1.041992,0.1572266,-0.8183594,0.05175781
464,0.125,-0.0625,0.0625,0.03125,0.001953125,-1.030273,0.1572266,-0.8183594,0.05175781
468,0.125,0,0,0.01953125,0.001953125,-1.038086,0.1547852,-0.8212891,0.05175781
472,-0.0625,0,0,0.01953125,0.005859375,-1.038086,0.1557617,-0.8173828,0.05322266
476,0,0,0.125,0.015625,0.009765625,-1.041992,0.1557617,-0.8173828,0.05322266
